name,sex
aaden,1
aaliyah,0
aamir,1
aarav,1
aaron,0
aaron,1
ab,1
abagael,0
abagail,0
abb,1
abbe,0
abbey,0
abbey,1
abbi,0
abbie,0
abbie,1
abbigail,0
abbot,1
abbott,1
abby,0
abby,1
abdel,1
abdiel,1
abdul,1
abdulkarim,1
abdullah,1
abe,1
abel,1
abelard,1
abelardo,1
abie,1
abigael,0
abigail,0
abigale,0
abigayle,0
abner,1
abra,0
abraham,1
abram,1
abril,0
acacia,0
ace,1
acey,1
achsah,0
acie,1
acy,1
ada,0
ada,1
adah,0
adair,1
adalberto,1
adaline,0
adalyn,0
adalynn,0
adam,1
adamaris,0
adams,1
adan,1
adara,0
add,1
adda,0
addie,0
addie,1
addis,0
addison,0
addison,1
addisyn,0
addyson,0
adel,0
adela,0
adelaide,0
adelard,1
adelbert,1
adele,0
adelia,0
adelice,0
adelina,0
adelind,0
adeline,0
adell,0
adella,0
adelle,0
adelyn,0
aden,1
adena,0
adey,0
adger,1
adi,0
adiana,0
adilene,0
adin,1
adina,0
adison,0
aditya,1
adlai,1
adline,0
admiral,1
adnan,1
adolf,1
adolfo,1
adolph,1
adolphe,1
adolpho,1
adolphus,1
adonis,1
adora,0
adore,0
adoree,0
adorne,0
adrain,1
adrea,0
adria,0
adriaens,0
adrian,0
adrian,1
adriana,0
adriane,0
adrianna,0
adrianne,0
adrick,1
adriel,1
adrien,0
adrien,1
adriena,0
adriene,0
adrienne,0
adron,1
adyson,0
aedan,1
aeriel,0
aeriela,0
aeriell,0
affie,0
afton,0
ag,0
agace,0
agamemnon,1
agata,0
agatha,0
agathe,0
aggi,0
aggie,0
aggy,0
agna,0
agnella,0
agnes,0
agnes,1
agnese,0
agness,0
agnesse,0
agneta,0
agnola,0
agretha,0
aguinaldo,1
agusta,0
aguste,1
agustin,1
agustus,1
ah,1
aharon,1
ahmad,1
ahmed,1
ahmet,1
aida,0
aidan,0
aidan,1
aiden,1
aidyn,1
aigneis,0
aila,0
aile,0
ailee,0
aileen,0
ailene,0
ailey,0
aili,0
ailina,0
ailyn,0
aime,0
aimee,0
aimil,0
aina,0
aindrea,0
ainslee,0
ainsley,0
ainslie,0
aisha,0
aiyana,0
aja,0
ajai,1
ajay,0
ajay,1
akeelah,0
akeem,1
akira,0
akira,1
al,1
ala,0
alaa,1
alabama,0
alain,1
alaina,0
alaine,0
alameda,0
alan,1
alana,0
alanah,0
alane,0
alani,0
alanna,0
alannah,0
alanzo,1
alasdair,1
alastair,1
alayna,0
alayne,0
alba,0
alba,1
albatros,1
albert,0
albert,1
alberta,0
albertha,0
albertina,0
albertine,0
alberto,1
albertus,1
albin,1
albina,0
albion,1
albrecht,1
alby,1
alcee,1
alcide,1
alcie,0
alda,0
alden,1
aldis,1
aldo,1
aldona,0
aldric,1
aldrich,1
aldus,1
aldwin,1
aleah,0
alease,0
alec,1
alecia,0
aleck,1
aleda,0
aleece,0
aleecia,0
aleen,0
aleena,0
alejandra,0
alejandrina,0
alejandro,1
alek,1
aleks,1
aleksandrs,1
alena,0
alene,0
alesha,0
alesia,0
alessandra,0
alessandro,1
aleta,0
aletha,0
alethea,0
alex,0
alex,1
alexa,0
alexande,1
alexander,0
alexander,1
alexandr,0
alexandra,0
alexandre,1
alexandrea,0
alexandria,0
alexandrina,0
alexandro,1
alexei,1
alexi,0
alexia,0
alexina,0
alexine,0
alexis,0
alexis,1
alexus,0
alexys,0
alexzander,1
alf,1
alferd,1
alfie,0
alfie,1
alfonse,1
alfonso,1
alfonzo,1
alford,1
alfred,0
alfred,1
alfreda,0
alfredo,1
alger,1
algernon,1
algie,1
algot,1
ali,0
ali,1
alia,0
aliana,0
alic,1
alica,0
alice,0
alice,1
alicea,0
alicia,0
alida,0
alidia,0
alijah,1
alina,0
aline,0
alis,0
alisa,0
alisha,0
alison,0
alissa,0
alisson,0
alister,1
alisun,0
alivia,0
alix,0
alix,1
aliya,0
aliyah,0
aliza,0
alize,0
alla,0
allah,1
allan,1
allean,0
alleen,0
allegra,0
allen,1
allena,0
allene,0
alley,1
alli,0
allianora,0
allie,0
allie,1
allin,1
allina,0
alline,0
allis,0
allison,0
allison,1
allissa,0
allisson,0
allsun,0
ally,0
allyce,0
allyn,0
allyn,1
allys,0
allyson,0
allyssa,0
alma,0
alma,1
almeda,0
almedia,0
almer,1
almeria,0
almeta,0
almina,0
almira,0
almire,0
almon,1
almond,1
almus,1
almyra,0
alois,1
aloise,0
aloisia,0
aloma,0
alondra,0
alonso,1
alonza,1
alonzo,1
aloys,1
aloysia,0
aloysius,1
alpa,0
alpha,0
alpha,1
alpheus,1
alphons,1
alphonse,1
alphonsine,0
alphonso,1
alphonsus,1
alston,1
alta,0
alta,1
altha,0
althea,0
altie,0
alto,1
alton,1
alva,0
alva,1
alvah,1
alvan,1
alvaro,1
alvena,0
alver,1
alvera,0
alverda,0
alverta,0
alvia,1
alvie,1
alvin,1
alvina,0
alvinia,0
alvira,0
alvis,1
alvy,1
alwilda,0
alwin,1
alwina,0
alwine,0
alyce,0
alycia,0
alyda,0
alys,0
alysa,0
alyse,0
alysha,0
alysia,0
alyson,0
alyss,0
alyssa,0
alyssia,0
alyvia,0
alzina,0
ama,0
